gene_id	gene_name	CD4	CD8
ENSG00000242290	ZBTB20-AS5	4	3
ENSG00000241295	ZBTB20-AS2	90	62
ENSG00000239946	ZBTB20-AS3	1	0
ENSG00000242767	ZBTB20-AS4	19	10
ENSG00000242880	AC046136.1	4	1
ENSG00000172020	GAP43	0	2
ENSG00000185565	LSAMP	0	0
ENSG00000240922	LSAMP-AS1	0	0
ENSG00000241397	LINC00903	0	0
ENSG00000243197	TUSC7	0	0
ENSG00000242385	LINC00901	0	0
ENSG00000239268	AC092691.1	0	0
ENSG00000241213	LINC02024	0	0
ENSG00000242816	AC092691.3	0	0
ENSG00000243276	AC068633.1	1	0
ENSG00000144847	IGSF11	3	2
ENSG00000239877	IGSF11-AS1	0	0
ENSG00000163424	C3orf30	0	0
ENSG00000251012	AC083800.1	0	0
ENSG00000114638	UPK1B	18	48
ENSG00000121578	B4GALT4	867	2305
ENSG00000240254	B4GALT4-AS1	0	0
ENSG00000031081	ARHGAP31	84	116
ENSG00000241155	ARHGAP31-AS1	1	2
ENSG00000176142	TMEM39A	493	971
ENSG00000163389	POGLUT1	451	888
ENSG00000272662	AC073352.1	3	2
ENSG00000113845	TIMMDC1	691	1421
ENSG00000121594	CD80	24	28
ENSG00000272967	AC073352.2	3	5
ENSG00000144843	ADPRH	18	47
ENSG00000144837	PLA1A	6	3
ENSG00000121577	POPDC2	44	55
ENSG00000138495	COX17	2212	4282
ENSG00000183833	MAATS1	6	0
ENSG00000239994	AC069444.1	0	0
ENSG00000144852	NR1I2	1	2
ENSG00000082701	GSK3B	911	1717
ENSG00000242622	AC092910.3	43	27
ENSG00000175697	GPR156	0	0
ENSG00000163428	LRRC58	1362	2108
ENSG00000282950	AC063952.4	0	0
ENSG00000163430	FSTL1	15	24
ENSG00000065518	NDUFB4	5163	8040
ENSG00000113924	HGD	50	41
ENSG00000144840	RABL3	500	566
ENSG00000153767	GTF2E1	157	291
ENSG00000243593	LINC02049	0	0
ENSG00000145087	STXBP5L	0	0
ENSG00000051341	POLQ	18	83
ENSG00000186103	ARGFX	0	0
ENSG00000163833	FBXO40	12	12
ENSG00000180353	HCLS1	4673	9118
ENSG00000173230	GOLGB1	2852	4276
ENSG00000173226	IQCB1	775	1015
ENSG00000145088	EAF2	193	270
ENSG00000163406	SLC15A2	35	34
ENSG00000145103	ILDR1	0	3
ENSG00000114013	CD86	73	203
ENSG00000036828	CASR	0	1
ENSG00000121552	CSTA	280	530
ENSG00000160124	CCDC58	469	543
ENSG00000114023	FAM162A	2663	3177
ENSG00000196981	WDR5B	52	92
ENSG00000272758	AC083798.2	174	174
ENSG00000114030	KPNA1	791	1183
ENSG00000138496	PARP9	1003	2443
ENSG00000163840	DTX3L	682	1310
ENSG00000173200	PARP15	694	1662
ENSG00000173193	PARP14	1385	2800
ENSG00000169087	HSPBAP1	350	492
ENSG00000138463	DIRC2	150	254
ENSG00000273033	LINC02035	71	68
ENSG00000082684	SEMA5B	3	1
ENSG00000065485	PDIA5	75	65
ENSG00000121542	SEC22A	280	379
ENSG00000273454	AC112503.2	1	1
ENSG00000173175	ADCY5	1	0
ENSG00000272678	AC112503.1	3	3
ENSG00000206527	HACD2	406	635
ENSG00000239523	MYLK-AS1	61	74
ENSG00000065534	MYLK	77	77
ENSG00000250174	MYLK-AS2	0	0
ENSG00000273123	AC020634.1	3	0
ENSG00000175455	CCDC14	772	1521
ENSG00000065371	ROPN1	0	0
ENSG00000160145	KALRN	66	20
ENSG00000114491	UMPS	712	774
ENSG00000082781	ITGB5	80	77
ENSG00000244286	ITGB5-AS1	0	0
ENSG00000173702	MUC13	1	0
ENSG00000173706	HEG1	384	595
ENSG00000221955	SLC12A8	0	2
ENSG00000163848	ZNF148	1858	2862
ENSG00000114520	SNX4	605	1180
ENSG00000144909	OSBPL11	334	576
ENSG00000272840	AC092902.3	2	3
ENSG00000248787	AC092903.2	15	16
ENSG00000189366	ALG1L	29	48
ENSG00000114547	ROPN1B	1	0
ENSG00000114544	SLC41A3	665	1051
ENSG00000248607	AC117422.1	0	0
ENSG00000250012	AC079848.1	1	0
ENSG00000144908	ALDH1L1	4	3
ENSG00000250218	ALDH1L1-AS1	0	0
ENSG00000246022	ALDH1L1-AS2	0	0
ENSG00000250934	AC016924.1	0	0
ENSG00000251448	AC063919.1	0	0
ENSG00000163884	KLF15	3	0
ENSG00000249833	CCDC37-DT	0	0
ENSG00000163885	CFAP100	0	0
ENSG00000070476	ZXDC	585	788
ENSG00000159650	UROC1	0	0
ENSG00000180767	CHST13	11	12
ENSG00000180697	C3orf22	0	0
ENSG00000283374	TXNRD3NB	0	0
ENSG00000206483	TXNRD3NB	0	0
ENSG00000197763	TXNRD3	6	1
ENSG00000159685	CHCHD6	263	392
ENSG00000114554	PLXNA1	83	81
ENSG00000214324	C3orf56	0	0
ENSG00000244215	LINC02016	0	0
ENSG00000239921	LINC01471	1	2
ENSG00000240562	AC016968.1	0	0
ENSG00000282975	LINC02034	0	0
ENSG00000282860	AC084035.1	0	1
ENSG00000163870	TPRA1	254	445
ENSG00000073111	MCM2	111	347
ENSG00000114631	PODXL2	89	61
ENSG00000114626	ABTB1	1608	2261
ENSG00000074416	MGLL	122	112
ENSG00000187715	KBTBD12	2	7
ENSG00000058262	SEC61A1	1165	2013
ENSG00000175792	RUVBL1	788	1706
ENSG00000239608	RUVBL1-AS1	0	0
ENSG00000132394	EEFSEC	908	1148
ENSG00000179407	DNAJB8	0	0
ENSG00000242049	DNAJB8-AS1	0	0
ENSG00000179348	GATA2	16	10
ENSG00000244300	GATA2-AS1	27	43
ENSG00000198685	LINC01565	5	8
ENSG00000163902	RPN1	1539	2960
ENSG00000075785	RAB7A	3007	5207
ENSG00000261159	AC112484.3	13	16
ENSG00000231305	AC112484.1	0	0
ENSG00000177646	ACAD9	161	461
ENSG00000114656	KIAA1257	22	25
ENSG00000114654	EFCC1	3	1
ENSG00000169704	GP9	302	278
ENSG00000172780	RAB43	8	7
ENSG00000261796	ISY1-RAB43	0	0
ENSG00000273174	AC108673.2	39	19
ENSG00000240682	ISY1	1161	2087
ENSG00000273437	AC108673.3	183	167
ENSG00000169714	CNBP	9183	12252
ENSG00000181789	COPG1	700	1331
ENSG00000183624	HMCES	1327	1814
ENSG00000184897	H1FX	8186	13105
ENSG00000206417	H1FX-AS1	49	81
ENSG00000172771	EFCAB12	8	15
ENSG00000129071	MBD4	2527	3875
ENSG00000163913	IFT122	193	267
ENSG00000163914	RHO	0	0
ENSG00000178804	H1FOO	0	0
ENSG00000004399	PLXND1	383	990
ENSG00000172765	TMCC1	375	576
ENSG00000271270	TMCC1-AS1	8	24
ENSG00000250643	AC083906.3	0	0
ENSG00000170893	TRH	0	0
ENSG00000251287	ALG1L2	35	37
ENSG00000248243	LINC02014	5	2
ENSG00000249846	LINC02021	19	22
ENSG00000172752	COL6A5	0	0
ENSG00000206384	COL6A6	0	1
ENSG00000196455	PIK3R4	188	332
ENSG00000017260	ATP2C1	446	836
ENSG00000250592	AC055733.2	0	0
ENSG00000034533	ASTE1	686	1113
ENSG00000114670	NEK11	53	32
ENSG00000250129	AC116424.1	0	0
ENSG00000198585	NUDT16	430	656
ENSG00000114686	MRPL3	1649	2018
ENSG00000248468	AC107027.1	0	4
ENSG00000196353	CPNE4	0	0
ENSG00000014257	ACPP	9	17
ENSG00000138246	DNAJC13	393	661
ENSG00000240303	ACAD11	85	122
ENSG00000274810	NPHP3-ACAD11	0	0
ENSG00000129048	ACKR4	14	9
ENSG00000081307	UBA5	551	1063
ENSG00000113971	NPHP3	1005	1053
ENSG00000248724	NPHP3-AS1	3	2
ENSG00000249725	AC079942.1	0	0
ENSG00000144868	TMEM108	5	1
ENSG00000251011	TMEM108-AS1	0	0
ENSG00000170819	BFSP2	51	20
ENSG00000249993	BFSP2-AS1	12	5
ENSG00000272832	AC022296.3	4	4
ENSG00000091527	CDV3	4651	7447
ENSG00000163781	TOPBP1	684	1284
ENSG00000091513	TF	10	28
ENSG00000144867	SRPRB	666	1206
ENSG00000154917	RAB6B	34	52
ENSG00000221972	C3orf36	0	0
ENSG00000174640	SLCO2A1	0	3
ENSG00000243832	LINC02000	0	0
ENSG00000163785	RYK	1104	1291
ENSG00000240006	LINC02004	0	0
ENSG00000260633	AC010207.1	0	0
ENSG00000114019	AMOTL2	0	0
ENSG00000129055	ANAPC13	1215	1677
ENSG00000182923	CEP63	652	946
ENSG00000154928	EPHB1	1	3
ENSG00000174611	KY	0	0
ENSG00000073711	PPP2R3A	39	86
ENSG00000273455	AC072039.2	4	5
ENSG00000174579	MSL2	1050	2010
ENSG00000114054	PCCB	259	749
ENSG00000118007	STAG1	1162	1929
ENSG00000261758	AC117382.2	6	10
ENSG00000168917	SLC35G2	38	161
ENSG00000273486	AC096992.2	57	125
ENSG00000239213	NCK1-DT	167	299
ENSG00000158092	NCK1	1935	3642
ENSG00000174564	IL20RB	24	65
ENSG00000249407	IL20RB-AS1	0	2
ENSG00000168875	SOX14	0	0
ENSG00000239513	LINC01210	0	0
ENSG00000261146	AC007159.1	0	0
ENSG00000066405	CLDN18	0	0
ENSG00000272609	AC016252.1	0	0
ENSG00000158163	DZIP1L	0	0
ENSG00000118017	A4GNT	0	0
ENSG00000138231	DBR1	424	658
ENSG00000114098	ARMC8	1432	2290
ENSG00000181322	NME9	9	7
ENSG00000158186	MRAS	5	9
ENSG00000158220	ESYT3	1	2
ENSG00000114107	CEP70	236	293
ENSG00000158234	FAIM	240	499
ENSG00000051382	PIK3CB	549	574
ENSG00000244578	LINC01391	0	0
ENSG00000183770	FOXL2	0	0
ENSG00000206262	FOXL2NB	0	0
ENSG00000206260	PRR23A	0	0
ENSG00000175110	MRPS22	1258	2222
ENSG00000184814	PRR23B	0	0
ENSG00000233701	PRR23C	0	0
ENSG00000232416	BPESC1	0	0
ENSG00000281473	PISRT1	0	0
ENSG00000272656	AC024933.1	3	4
ENSG00000184432	COPB2	659	1501
ENSG00000248932	AC097103.2	29	46
ENSG00000114113	RBP2	0	1
ENSG00000248790	AC097103.1	0	1
ENSG00000114115	RBP1	0	0
ENSG00000163864	NMNAT3	124	89
ENSG00000261763	AC110716.2	0	0
ENSG00000250543	AC110716.1	0	0
ENSG00000251471	AC016933.1	0	0
ENSG00000158258	CLSTN2	0	3
ENSG00000249290	AC010181.1	0	0
ENSG00000251058	AC010181.2	0	0
ENSG00000250433	CLSTN2-AS1	0	0
ENSG00000155890	TRIM42	0	0
ENSG00000261826	AC121333.1	0	0
ENSG00000114120	SLC25A36	2612	3156
ENSG00000175093	SPSB4	2	0
ENSG00000251270	AC108727.2	0	0
ENSG00000155893	PXYLP1	130	254
ENSG00000249417	AC117383.1	0	0
ENSG00000177311	ZBTB38	1559	4774
ENSG00000155903	RASA2	1934	3694
ENSG00000114125	RNF7	5102	8605
ENSG00000114124	GRK7	2	4
ENSG00000069849	ATP1B3	2008	5406
ENSG00000244124	ATP1B3-AS1	9	25
ENSG00000114126	TFDP2	1229	4063
ENSG00000175066	GK5	478	2841
ENSG00000114127	XRN1	1979	3611
ENSG00000175054	ATR	427	822
ENSG00000120756	PLS1	12	29
ENSG00000239641	PLS1-AS1	0	0
ENSG00000144935	TRPC1	38	29
ENSG00000163710	PCOLCE2	0	2
ENSG00000243818	AC021074.3	0	0
ENSG00000188582	PAQR9	0	0
ENSG00000241570	PAQR9-AS1	5	2
ENSG00000163714	U2SURP	3961	6158
ENSG00000268129	AC026304.1	74	71
ENSG00000243733	AC018450.2	0	0
ENSG00000175040	CHST2	104	434
ENSG00000181804	SLC9A9	419	773
ENSG00000240012	SLC9A9-AS1	0	0
ENSG00000244493	SLC9A9-AS2	0	0
ENSG00000181744	C3orf58	203	541
ENSG00000244358	AC055758.2	0	0
ENSG00000240095	AC055758.1	0	0
ENSG00000243415	AC107021.1	0	0
ENSG00000240032	LNCSRLR	0	0
ENSG00000152952	PLOD2	6	7
ENSG00000114698	PLSCR4	6	2
ENSG00000163746	PLSCR2	6	0
ENSG00000188313	PLSCR1	704	1774
ENSG00000231213	PLSCR5	0	0
ENSG00000241457	PLSCR5-AS1	0	0
ENSG00000243620	AC092957.1	0	0
ENSG00000242671	LINC02010	0	0
ENSG00000174963	ZIC4	0	0
ENSG00000241202	ZIC4-AS1	0	0
ENSG00000152977	ZIC1	0	0
ENSG00000239661	AC092925.1	0	0
ENSG00000239922	AC092958.1	0	0
ENSG00000241131	LINC02032	0	0
ENSG00000241792	AC092958.2	0	0
ENSG00000244650	AC025566.1	0	0
ENSG00000243347	LINC02045	0	0
ENSG00000242440	LINC02046	0	0
ENSG00000144891	AGTR1	0	0
ENSG00000153002	CPB1	0	0
ENSG00000240521	AC092979.1	0	0
ENSG00000163751	CPA3	0	0
ENSG00000163754	GYG1	1196	3376
ENSG00000071794	HLTF	231	613
ENSG00000239718	HLTF-AS1	0	0
ENSG00000163755	HPS3	411	1067
ENSG00000047457	CP	2	12
ENSG00000244468	AC093001.1	0	0
ENSG00000163762	TM4SF18	0	0
ENSG00000169908	TM4SF1	0	0
ENSG00000240541	TM4SF1-AS1	0	0
ENSG00000243885	AC108751.4	0	0
ENSG00000169903	TM4SF4	0	0
ENSG00000018408	WWTR1	27	34
ENSG00000241313	WWTR1-AS1	0	0
ENSG00000114744	COMMD2	2538	4161
ENSG00000206199	ANKUB1	0	0
ENSG00000082996	RNF13	1495	2372
ENSG00000070087	PFN2	105	48
ENSG00000242791	AC117395.1	3	7
ENSG00000243944	AC117386.2	0	0
ENSG00000243321	LINC01998	0	0
ENSG00000241048	AC117386.1	0	0
ENSG00000244541	LINC01213	0	0
ENSG00000243550	LINC01214	0	0
ENSG00000196428	TSC22D2	669	1285
ENSG00000120742	SERP1	9125	9874
ENSG00000144895	EIF2A	3406	3901
ENSG00000198843	SELENOT	3595	6606
ENSG00000163645	ERICH6	3	0
ENSG00000240137	ERICH6-AS1	158	350
ENSG00000181788	SIAH2	2443	3266
ENSG00000244265	SIAH2-AS1	6	6
ENSG00000239265	CLRN1-AS1	0	1
ENSG00000214237	MINDY4B	0	0
ENSG00000260234	AC020636.2	0	0
ENSG00000243273	AC020636.1	0	0
ENSG00000163646	CLRN1	0	0
ENSG00000144893	MED12L	7	9
ENSG00000174946	GPR171	1323	1867
ENSG00000174944	P2RY14	41	23
ENSG00000138271	GPR87	0	0
ENSG00000181631	P2RY13	45	115
ENSG00000169313	P2RY12	3	2
ENSG00000152580	IGSF10	1	1
ENSG00000241151	LINC02066	0	0
ENSG00000197953	AADACL2	0	0
ENSG00000242908	AADACL2-AS1	0	0
ENSG00000114771	AADAC	0	0
ENSG00000198829	SUCNR1	7	17
ENSG00000239941	AC108718.1	19	8
ENSG00000152601	MBNL1	6256	9028
ENSG00000229619	MBNL1-AS1	161	185
ENSG00000243305	AC026347.1	3	5
ENSG00000244545	AC092924.1	0	0
ENSG00000169860	P2RY1	6	10
ENSG00000244268	AC117394.2	2	0
ENSG00000181467	RAP2B	1850	3649
ENSG00000241220	AC078788.1	1	2
ENSG00000241912	AC078788.2	0	0
ENSG00000243012	LINC02083	0	0
ENSG00000237787	C3orf79	0	0
ENSG00000243486	AC068985.1	0	0
ENSG00000114790	ARHGEF26	162	171
ENSG00000174953	DHX36	4392	6655
ENSG00000174948	GPR149	0	0
ENSG00000243861	AC092994.1	0	0
ENSG00000243969	AC073359.2	0	0
ENSG00000243953	AC073359.1	0	0
ENSG00000196549	MME	16	15
ENSG00000240666	MME-AS1	0	0
ENSG00000241336	LINC01487	0	0
ENSG00000240045	DWORF	0	0
ENSG00000242790	AC104831.1	0	0
ENSG00000114805	PLCH1	0	2
ENSG00000239508	PLCH1-AS1	0	0
ENSG00000242925	PLCH1-AS2	0	0
ENSG00000174928	C3orf33	170	208
ENSG00000284952	AC104472.3	19	15
ENSG00000169359	SLC33A1	521	788
ENSG00000163655	GMPS	1546	2286
ENSG00000169282	KCNAB1	20	16
ENSG00000240596	KCNAB1-AS2	0	0
ENSG00000242370	KCNAB1-AS1	0	0
ENSG00000272990	AC084036.1	138	154
ENSG00000114850	SSR3	2762	4318
ENSG00000243926	TIPARP-AS1	215	215
ENSG00000163659	TIPARP	1538	2578
ENSG00000240875	LINC00886	15	19
ENSG00000197980	LEKR1	16	10
ENSG00000243629	LINC00880	18	18
ENSG00000241544	LINC02029	1	6
ENSG00000241135	LINC00881	1	0
ENSG00000163660	CCNL1	7355	9841
ENSG00000241770	AC104411.1	0	0
ENSG00000197415	VEPH1	5	14
ENSG00000163661	PTX3	26	34
ENSG00000174899	PQLC2L	2	2
ENSG00000239716	AC079943.1	0	0
ENSG00000242536	AC079943.2	0	0
ENSG00000168779	SHOX2	0	4
ENSG00000174891	RSRC1	1539	2470
ENSG00000243150	AC106707.1	132	259
ENSG00000178053	MLF1	214	390
ENSG00000168827	GFM1	881	1488
ENSG00000079257	LXN	182	232
ENSG00000272087	AC080013.4	0	0
ENSG00000272440	AC080013.6	19	34
ENSG00000118849	RARRES1	2	1
ENSG00000118855	MFSD1	464	940
ENSG00000240207	AC080013.1	1	2
ENSG00000272247	AC080013.5	15	10
ENSG00000283154	IQCJ-SCHIP1	0	0
ENSG00000214216	IQCJ	0	0
ENSG00000241211	IQCJ-SCHIP1-AS1	0	0
ENSG00000151967	SCHIP1	0	0
ENSG00000244040	IL12A-AS1	0	4
ENSG00000168811	IL12A	30	113
ENSG00000242107	LINC01100	0	0
ENSG00000180044	C3orf80	0	0
ENSG00000248710	AC079594.2	0	0
ENSG00000068885	IFT80	272	317
ENSG00000113810	SMC4	1285	2713
ENSG00000213186	TRIM59	497	835
ENSG00000186432	KPNA4	2240	3685
ENSG00000179674	ARL14	0	0
ENSG00000260572	AC069224.1	22	22
ENSG00000163590	PPM1L	74	373
ENSG00000169255	B3GALNT1	5	10
ENSG00000169251	NMD3	854	1173
ENSG00000196542	SPTSSB	8	17
ENSG00000240567	LINC02067	5	3
ENSG00000269888	AC112491.1	0	0
ENSG00000182447	OTOL1	0	0
ENSG00000240354	AC131211.1	0	0
ENSG00000241168	AC128685.1	1	0
ENSG00000241369	LINC01192	0	0
ENSG00000240792	AC079910.1	0	0
ENSG00000241636	LINC01323	0	0
ENSG00000241767	LINC01324	0	0
ENSG00000090402	SI	0	0
ENSG00000239205	LINC02023	0	0
ENSG00000121871	SLITRK3	0	0
ENSG00000244128	LINC01322	0	0
ENSG00000114200	BCHE	0	0
ENSG00000244321	LINC01326	0	0
ENSG00000240033	AC069439.2	0	0
ENSG00000169064	ZBBX	0	0
ENSG00000241669	LINC01327	0	0
ENSG00000114204	SERPINI2	0	2
ENSG00000174776	WDR49	0	6
ENSG00000114209	PDCD10	1823	3761
ENSG00000163536	SERPINI1	134	273
ENSG00000244706	AC026353.1	0	0
ENSG00000173905	GOLIM4	44	385
ENSG00000241882	AC124893.1	0	0
ENSG00000242268	LINC02082	0	0
ENSG00000272797	AC092954.1	0	0
ENSG00000273177	AC092954.2	0	0
ENSG00000241383	LINC01997	0	0
ENSG00000085276	MECOM	0	2
ENSG00000241479	AC074033.1	0	0
ENSG00000270141	TERC	11	11
ENSG00000184378	ACTRT3	1	4
ENSG00000269889	AC078802.1	12	25
ENSG00000085274	MYNN	555	1090
ENSG00000269984	AC078795.1	9	17
ENSG00000171757	LRRC34	15	27
ENSG00000270135	AC078795.3	8	11
ENSG00000270096	AC078795.2	15	20
ENSG00000188306	LRRIQ4	0	0
ENSG00000114248	LRRC31	0	0
ENSG00000187033	SAMD7	1	0
ENSG00000239219	AC008040.1	4	0
ENSG00000008952	SEC62	6809	8427
ENSG00000240373	SEC62-AS1	17	21
ENSG00000173890	GPR160	345	170
ENSG00000173889	PHC3	2080	2651
ENSG00000268220	AC008040.5	174	190
ENSG00000163558	PRKCI	313	522
ENSG00000239628	AC073288.1	0	0
ENSG00000136603	SKIL	1076	2711
ENSG00000242578	AC073288.2	0	0
ENSG00000013297	CLDN11	2	2
ENSG00000285218	AC026316.5	0	0
ENSG00000013293	SLC7A14	7	8
ENSG00000239739	AC026316.2	0	0
ENSG00000163584	RPL22L1	4455	6280
ENSG00000163577	EIF5A2	388	970
ENSG00000163581	SLC2A2	0	0
ENSG00000154310	TNIK	1831	3209
ENSG00000240497	AC092919.1	14	15
ENSG00000075651	PLD1	41	127
ENSG00000186329	TMEM212	1	0
ENSG00000234717	TMEM212-AS1	0	0
ENSG00000075420	FNDC3B	551	1310
ENSG00000121853	GHSR	4	2
ENSG00000121858	TNFSF10	1376	1745
ENSG00000223387	LINC02068	0	1
ENSG00000144959	NCEH1	40	97
ENSG00000114346	ECT2	59	158
ENSG00000144962	SPATA16	0	0
ENSG00000237473	AC068759.1	1	2
ENSG00000169760	NLGN1	0	0
ENSG00000228213	NLGN1-AS1	0	0
ENSG00000177694	NAALADL2	0	1
ENSG00000226779	NAALADL2-AS2	0	0
ENSG00000225552	NAALADL2-AS1	0	0
ENSG00000260217	AC104640.1	0	0
ENSG00000223715	LINC01208	0	0
ENSG00000232461	AC092920.1	0	0
ENSG00000228308	LINC01209	23	25
ENSG00000177565	TBL1XR1	2002	2701
ENSG00000231310	TBL1XR1-AS1	0	0
ENSG00000203645	LINC00501	3	5
ENSG00000226782	AC117465.1	0	0
ENSG00000228221	LINC00578	0	0
ENSG00000236385	AC026355.2	0	0
ENSG00000228561	AC026355.1	0	0
ENSG00000231574	LINC02015	0	0
ENSG00000225790	AC007953.1	0	0
ENSG00000270321	AC007953.2	0	0
ENSG00000223930	AC109779.1	0	3
ENSG00000197584	KCNMB2	0	0
ENSG00000275163	AC117457.1	0	0
ENSG00000237978	KCNMB2-AS1	0	1
ENSG00000172667	ZMAT3	627	1100
ENSG00000229102	AC076966.1	0	0
ENSG00000121879	PIK3CA	1433	1196
ENSG00000171121	KCNMB3	45	42
ENSG00000121864	ZNF639	1621	1877
ENSG00000260743	AC007823.1	7	3
ENSG00000171109	MFN1	385	808
ENSG00000114450	GNB4	119	243
ENSG00000242539	AC007620.2	26	58
ENSG00000272699	AC007620.3	6	0
ENSG00000136518	ACTL6A	360	656
ENSG00000272910	AC090425.2	5	8
ENSG00000272660	AC090425.1	1	0
ENSG00000136522	MRPL47	2447	4527
ENSG00000136521	NDUFB5	2193	3216
ENSG00000058056	USP13	178	201
ENSG00000114757	PEX5L	7	5
ENSG00000270178	AC007687.1	3	3
ENSG00000243799	PEX5L-AS1	0	0
ENSG00000244302	PEX5L-AS2	0	0
ENSG00000241696	LINC02053	0	0
ENSG00000239774	AC125618.1	0	0
ENSG00000163728	TTC14	3667	5917
ENSG00000284862	CCDC39	1	1
ENSG00000145075	CCDC39	0	0
ENSG00000243187	CCDC39-AS1	0	0
ENSG00000285336	AC108734.4	0	0
ENSG00000114416	FXR1	3404	4800
ENSG00000205981	DNAJC19	2339	3279
ENSG00000241231	AC022294.1	0	0
ENSG00000239381	AC125613.1	0	0
ENSG00000181449	SOX2	0	0
ENSG00000242512	LINC01206	0	0
ENSG00000240478	AC012081.1	0	0
ENSG00000242012	AC084211.1	0	0
ENSG00000241098	LINC01994	0	0
ENSG00000244247	LINC01995	0	0
ENSG00000238837	LINC02031	0	0
ENSG00000260377	AC083801.2	0	0
ENSG00000240063	AC069431.1	1	1
ENSG00000058063	ATP11B	1355	2408
ENSG00000273261	AC092953.2	16	32
ENSG00000043093	DCUN1D1	864	1467
ENSG00000078070	MCCC1	372	481
ENSG00000243368	MCCC1-AS1	0	1
ENSG00000078081	LAMP3	39	12
ENSG00000053524	MCF2L2	237	259
ENSG00000176597	B3GNT5	35	71
ENSG00000172578	KLHL6	413	183
ENSG00000242522	KLHL6-AS1	6	3
ENSG00000114796	KLHL24	2655	3697
ENSG00000163872	YEATS2	297	533
ENSG00000233885	YEATS2-AS1	7	6
ENSG00000283765	AC131160.1	0	0
ENSG00000180834	MAP6D1	0	0
ENSG00000175193	PARL	1740	2515
ENSG00000114770	ABCC5	257	479
ENSG00000223882	ABCC5-AS1	0	0
ENSG00000186090	HTR3D	0	0
ENSG00000178084	HTR3C	0	0
ENSG00000238020	HTR3E-AS1	1	0
ENSG00000186038	HTR3E	0	0
ENSG00000273181	AC131235.4	0	0
ENSG00000272721	AC131235.3	2	7
ENSG00000145191	EIF2B5	1137	2015
ENSG00000161202	DVL3	289	756
ENSG00000161203	AP2M1	3794	7410
ENSG00000161204	ABCF3	562	1009
ENSG00000145198	VWA5B2	0	0
ENSG00000214160	ALG3	637	1161
ENSG00000284753	EEF1AKMT4	34	132
ENSG00000284917	EEF1AKMT4-ECE2	0	0
ENSG00000163888	CAMK2N2	9	35
ENSG00000145194	ECE2	0	0
ENSG00000175166	PSMD2	1708	3807
ENSG00000114867	EIF4G1	1205	2101
ENSG00000175182	FAM131A	142	234
ENSG00000114859	CLCN2	22	61
ENSG00000163882	POLR2H	940	1806
ENSG00000090534	THPO	0	0
ENSG00000090539	CHRD	0	0
ENSG00000224153	LINC02054	0	0
ENSG00000227509	LINC01839	0	0
ENSG00000230215	LINC01840	14	8
ENSG00000182580	EPHB3	0	1
ENSG00000177383	MAGEF1	516	566
ENSG00000272970	AC107294.2	0	1
ENSG00000273403	AC107294.3	0	0
ENSG00000272922	AC107294.1	1	1
ENSG00000229433	LINC02069	2	0
ENSG00000156931	VPS8	502	896
ENSG00000187068	C3orf70	0	0
ENSG00000223358	EHHADH-AS1	0	0
ENSG00000113790	EHHADH	13	23
ENSG00000073803	MAP3K13	539	896
ENSG00000163900	TMEM41A	749	1238
ENSG00000163898	LIPH	4	8
ENSG00000163904	SENP2	976	1443
ENSG00000073792	IGF2BP2	30	49
ENSG00000163915	IGF2BP2-AS1	0	1
ENSG00000136527	TRA2B	5897	7654
ENSG00000244405	ETV5	5	21
ENSG00000234197	ETV5-AS1	0	0
ENSG00000058866	DGKG	8	11
ENSG00000234548	LINC02020	0	0
ENSG00000224406	LINC02052	0	0
ENSG00000226859	LINC02051	0	0
ENSG00000213139	CRYGS	26	37
ENSG00000113838	TBCCD1	152	239
ENSG00000090520	DNAJB11	972	2272
ENSG00000197099	AC068631.1	16	50
ENSG00000283149	AC068631.2	0	0
ENSG00000145192	AHSG	0	0
ENSG00000090512	FETUB	0	0
ENSG00000113905	HRG	0	0
ENSG00000113889	KNG1	0	0
ENSG00000263826	AC112907.3	28	38
ENSG00000156976	EIF4A2	8170	10523
ENSG00000163918	RFC4	408	889
ENSG00000231724	AC112907.1	0	1
ENSG00000232233	LINC02043	12	18
ENSG00000181092	ADIPOQ	0	0
ENSG00000226482	ADIPOQ-AS1	0	1
ENSG00000073849	ST6GAL1	789	1344
ENSG00000163923	RPL39L	276	892
ENSG00000198491	AC007920.1	0	0
ENSG00000175077	RTP1	0	2
ENSG00000127241	MASP1	2	0
ENSG00000283175	AC007920.2	0	1
ENSG00000136514	RTP4	293	711
ENSG00000228952	LINC02041	0	0
ENSG00000157005	SST	0	0
ENSG00000198471	RTP2	0	0
ENSG00000228804	AC072022.1	0	0
ENSG00000113916	BCL6	319	647
ENSG00000224049	AC108681.1	0	0
ENSG00000236864	AC068295.1	0	0
ENSG00000224187	LINC01991	0	0
ENSG00000225058	AC092941.1	0	0
ENSG00000236412	AC092941.2	0	0
ENSG00000234238	AC022498.1	0	0
ENSG00000270959	LPP-AS2	18	17
ENSG00000145012	LPP	1785	3065
ENSG00000224563	LPP-AS1	0	0
ENSG00000234076	TPRG1-AS1	1	2
ENSG00000188001	TPRG1	248	713
ENSG00000230115	TPRG1-AS2	0	0
ENSG00000073282	TP63	8	4
ENSG00000090530	P3H2	0	4
ENSG00000225764	P3H2-AS1	0	2
ENSG00000163347	CLDN1	0	0
ENSG00000113946	CLDN16	2	1
ENSG00000198398	TMEM207	0	0
ENSG00000196083	IL1RAP	193	319
ENSG00000273370	AC108747.1	0	0
ENSG00000228730	LINC02013	0	0
